draw,qp,alpha_i,b1,phi,psi,om,si,d1,d2,d3,pA1,pA2,pA3,pA4,g0,g1,g2,qc
90,0.0956539,0.535903,1.99784,0.613346,0.249379,348.994,4.56962,0.902951,0.746541,0.34899,0.0334584,0.204323,0.507387,0.651868,5.68234,0.888445,0.889719,0.998952
91,0.0948399,0.675734,1.99758,0.611414,0.223638,355.564,5.22794,0.849381,0.799312,0.357952,0.0836993,0.215833,0.487651,0.796221,6.0316,0.890674,0.816186,0.999834
92,0.0967213,0.476334,1.99924,0.617631,0.261149,351.133,4.10315,0.914612,0.652243,0.398626,0.150141,0.213524,0.552032,0.644403,5.80491,0.881103,0.904356,0.999861
93,0.0980651,0.667254,1.99918,0.611439,0.242362,356.846,4.93819,0.891286,0.808912,0.324525,0.0874021,0.155141,0.536937,0.736023,5.81972,0.892317,0.795288,0.999573
94,0.0977402,0.484512,1.9994,0.617568,0.259793,347.993,4.32267,0.893446,0.684773,0.399876,0.0859344,0.198037,0.530709,0.676193,5.49232,0.887227,0.909494,0.999628
95,0.0996318,0.666926,1.99805,0.616445,0.249299,357.432,4.91552,0.892697,0.788284,0.332174,0.0988194,0.195516,0.528089,0.740461,5.91879,0.877695,0.775482,0.99955
96,0.0982562,0.469615,1.99941,0.622735,0.263227,347.573,4.08515,0.933036,0.664874,0.38306,0.100922,0.188694,0.56802,0.665304,5.80215,0.8895,0.881466,0.998701
97,0.0976072,0.644631,1.99902,0.626656,0.239348,360.665,4.8435,0.905484,0.790439,0.329368,0.103325,0.198624,0.462902,0.78334,6.49141,0.855422,0.759492,0.998119
98,0.0984291,0.683873,1.99666,0.613358,0.233313,362.09,5.1326,0.908336,0.824345,0.31837,0.0912055,0.162763,0.53658,0.789152,5.91775,0.8783,0.801018,0.998488
99,0.0964157,0.617501,1.99718,0.625603,0.234357,362.916,4.77498,0.876832,0.852107,0.323981,0.124856,0.140007,0.533545,0.762058,6.61792,0.852547,0.785936,0.998125
100,0.0959277,0.592637,1.99848,0.617615,0.232115,358.832,4.77527,0.892882,0.812518,0.325127,0.15144,0.169887,0.438845,0.746037,6.42279,0.820556,0.842438,0.99934
