"age_group","outcome","week_no","cases"
10,"hosp",119,0.745889048965616
10,"hosp",120,0.934444829359519
10,"hosp",121,1.21009619506493
10,"hosp",122,1.61927470650311
10,"hosp",123,2.23714483300718
10,"hosp",124,3.18630950824303
10,"hosp",125,4.66693888012673
10,"hosp",126,7.00230937961078
10,"hosp",127,10.6981010122779
10,"hosp",128,16.4906263120712
10,"hosp",129,25.2958388809637
10,"hosp",130,37.8575291087867
10,"hosp",131,53.8522102473641
10,"hosp",132,70.6756834767542
10,"hosp",133,83.3510550794626
10,"hosp",134,87.1500933150115
10,"hosp",135,81.1935283461755
10,"hosp",136,68.8299256360261
10,"hosp",137,54.6208473132656
10,"hosp",138,41.6967989232989
10,"hosp",139,31.2805908854738
10,"hosp",140,23.3947098709583
10,"hosp",141,17.5932634357407
10,"hosp",142,13.3636979047927
10,"hosp",143,10.2744374825213
10,"hosp",144,8.00108128783996
10,"hosp",145,6.31102071630219
10,"hosp",146,5.04034953822958
10,"hosp",147,4.07391012708323
10,"hosp",148,3.33045354280697
10,"hosp",149,2.75221799857452
10,"hosp",150,2.29776514002262
10,"hosp",151,1.93708007310341
10,"hosp",152,1.64820993773565
10,"hosp",153,1.41494261860824
10,"hosp",154,1.22519067210255
10,"hosp",155,1.06985667074775
10,"hosp",156,0.942030010530539
11,"hosp",105,0.605553238435274
11,"hosp",106,0.498939365902133
11,"hosp",107,0.425037219859017
11,"hosp",108,0.371456528977903
11,"hosp",109,0.333149769981251
11,"hosp",110,0.306856570706284
11,"hosp",111,0.290488222759559
11,"hosp",112,0.28285175730767
11,"hosp",113,0.283512365204201
11,"hosp",114,0.292762920891435
11,"hosp",115,0.311699310801635
11,"hosp",116,0.34242315101973
11,"hosp",117,0.388422048235725
11,"hosp",118,0.455220828794769
11,"hosp",119,0.551468006038833
11,"hosp",120,0.690741251934973
11,"hosp",121,0.89455834798328
11,"hosp",122,1.19741926870005
11,"hosp",123,1.65524978386959
11,"hosp",124,2.3594108677855
11,"hosp",125,3.45932298353007
11,"hosp",126,5.1967901710193
11,"hosp",127,7.95099277097086
11,"hosp",128,12.2759077689306
11,"hosp",129,18.8644870723952
11,"hosp",130,28.2881129591326
11,"hosp",131,40.3262643214755
11,"hosp",132,53.0474308054074
11,"hosp",133,62.7171066459235
11,"hosp",134,65.7462896925326
11,"hosp",135,61.4122352302223
11,"hosp",136,52.1888367294144
11,"hosp",137,41.5046981327839
11,"hosp",138,31.7400504466946
11,"hosp",139,23.8430015648686
11,"hosp",140,17.8490457019319
11,"hosp",141,13.431235038672
11,"hosp",142,10.2061582043391
11,"hosp",143,7.84839950823445
11,"hosp",144,6.1122227737839
11,"hosp",145,4.82089807078802
11,"hosp",146,3.84964696785113
11,"hosp",147,3.11068826850551
11,"hosp",148,2.54203685981513
11,"hosp",149,2.09960377912389
11,"hosp",150,1.75175070366194
